initial_alias,converted_alias,name,description,namespace
ENSG00000138386,ENSG00000138386,NAB1,NGFI-A binding protein 1 [Source:HGNC Symbol;Acc:HGNC:7626],"ARRAYEXPRESS,ENSG"
ENSG00000131473,ENSG00000131473,ACLY,ATP citrate lyase [Source:HGNC Symbol;Acc:HGNC:115],"ARRAYEXPRESS,ENSG"
ENSG00000162426,ENSG00000162426,SLC45A1,solute carrier family 45 member 1 [Source:HGNC Symbol;Acc:HGNC:17939],"ARRAYEXPRESS,ENSG"
ENSG00000182022,ENSG00000182022,CHST15,carbohydrate sulfotransferase 15 [Source:HGNC Symbol;Acc:HGNC:18137],"ARRAYEXPRESS,ENSG"
ENSG00000107443,ENSG00000107443,CCNJ,cyclin J [Source:HGNC Symbol;Acc:HGNC:23434],"ARRAYEXPRESS,ENSG"
ENSG00000155189,ENSG00000155189,AGPAT5,1-acylglycerol-3-phosphate O-acyltransferase 5 [Source:HGNC Symbol;Acc:HGNC:20886],"ARRAYEXPRESS,ENSG"
ENSG00000172380,ENSG00000172380,GNG12,G protein subunit gamma 12 [Source:HGNC Symbol;Acc:HGNC:19663],"ARRAYEXPRESS,ENSG"
ENSG00000082497,ENSG00000082497,SERTAD4,SERTA domain containing 4 [Source:HGNC Symbol;Acc:HGNC:25236],"ARRAYEXPRESS,ENSG"
ENSG00000110092,ENSG00000110092,CCND1,cyclin D1 [Source:HGNC Symbol;Acc:HGNC:1582],"ARRAYEXPRESS,ENSG"
ENSG00000100439,ENSG00000100439,ABHD4,abhydrolase domain containing 4 [Source:HGNC Symbol;Acc:HGNC:20154],"ARRAYEXPRESS,ENSG"
ENSG00000183117,ENSG00000183117,CSMD1,CUB and Sushi multiple domains 1 [Source:HGNC Symbol;Acc:HGNC:14026],"ARRAYEXPRESS,ENSG"
ENSG00000197747,ENSG00000197747,S100A10,S100 calcium binding protein A10 [Source:HGNC Symbol;Acc:HGNC:10487],"ARRAYEXPRESS,ENSG"
ENSG00000189171,ENSG00000189171,S100A13,S100 calcium binding protein A13 [Source:HGNC Symbol;Acc:HGNC:10490],"ARRAYEXPRESS,ENSG"
ENSG00000124145,ENSG00000124145,SDC4,syndecan 4 [Source:HGNC Symbol;Acc:HGNC:10661],"ARRAYEXPRESS,ENSG"
ENSG00000096063,ENSG00000096063,SRPK1,SRSF protein kinase 1 [Source:HGNC Symbol;Acc:HGNC:11305],"ARRAYEXPRESS,ENSG"
ENSG00000006071,ENSG00000006071,ABCC8,ATP binding cassette subfamily C member 8 [Source:HGNC Symbol;Acc:HGNC:59],"ARRAYEXPRESS,ENSG"
ENSG00000124490,ENSG00000124490,CRISP2,cysteine rich secretory protein 2 [Source:HGNC Symbol;Acc:HGNC:12024],"ARRAYEXPRESS,ENSG"
ENSG00000173757,ENSG00000173757,STAT5B,signal transducer and activator of transcription 5B [Source:HGNC Symbol;Acc:HGNC:11367],"ARRAYEXPRESS,ENSG"
ENSG00000071564,ENSG00000071564,TCF3,transcription factor 3 [Source:HGNC Symbol;Acc:HGNC:11633],"ARRAYEXPRESS,ENSG"
ENSG00000124942,ENSG00000124942,AHNAK,AHNAK nucleoprotein [Source:HGNC Symbol;Acc:HGNC:347],"ARRAYEXPRESS,ENSG"
ENSG00000130856,ENSG00000130856,ZNF236,zinc finger protein 236 [Source:HGNC Symbol;Acc:HGNC:13028],"ARRAYEXPRESS,ENSG"
ENSG00000163995,ENSG00000163995,ABLIM2,actin binding LIM protein family member 2 [Source:HGNC Symbol;Acc:HGNC:19195],"ARRAYEXPRESS,ENSG"
ENSG00000137936,ENSG00000137936,BCAR3,"BCAR3, NSP family adaptor protein [Source:HGNC Symbol;Acc:HGNC:973]","ARRAYEXPRESS,ENSG"
ENSG00000134193,ENSG00000134193,REG4,regenerating family member 4 [Source:HGNC Symbol;Acc:HGNC:22977],"ARRAYEXPRESS,ENSG"
ENSG00000105971,ENSG00000105971,CAV2,caveolin 2 [Source:HGNC Symbol;Acc:HGNC:1528],"ARRAYEXPRESS,ENSG"
ENSG00000118971,ENSG00000118971,CCND2,cyclin D2 [Source:HGNC Symbol;Acc:HGNC:1583],"ARRAYEXPRESS,ENSG"
ENSG00000006606,ENSG00000006606,CCL26,C-C motif chemokine ligand 26 [Source:HGNC Symbol;Acc:HGNC:10625],"ARRAYEXPRESS,ENSG"
ENSG00000132464,ENSG00000132464,ENAM,enamelin [Source:HGNC Symbol;Acc:HGNC:3344],"ARRAYEXPRESS,ENSG"
ENSG00000137312,ENSG00000137312,FLOT1,flotillin 1 [Source:HGNC Symbol;Acc:HGNC:3757],"ARRAYEXPRESS,ENSG"
ENSG00000170175,ENSG00000170175,CHRNB1,cholinergic receptor nicotinic beta 1 subunit [Source:HGNC Symbol;Acc:HGNC:1961],"ARRAYEXPRESS,ENSG"
ENSG00000160439,ENSG00000160439,RDH13,retinol dehydrogenase 13 [Source:HGNC Symbol;Acc:HGNC:19978],"ARRAYEXPRESS,ENSG"
ENSG00000169031,ENSG00000169031,COL4A3,collagen type IV alpha 3 chain [Source:HGNC Symbol;Acc:HGNC:2204],"ARRAYEXPRESS,ENSG"
ENSG00000081052,ENSG00000081052,COL4A4,collagen type IV alpha 4 chain [Source:HGNC Symbol;Acc:HGNC:2206],"ARRAYEXPRESS,ENSG"
ENSG00000174628,ENSG00000174628,IQCK,IQ motif containing K [Source:HGNC Symbol;Acc:HGNC:28556],"ARRAYEXPRESS,ENSG"
ENSG00000177599,ENSG00000177599,ZNF491,zinc finger protein 491 [Source:HGNC Symbol;Acc:HGNC:23706],"ARRAYEXPRESS,ENSG"
ENSG00000182993,ENSG00000182993,C12orf60,chromosome 12 open reading frame 60 [Source:HGNC Symbol;Acc:HGNC:28726],"ARRAYEXPRESS,ENSG"
ENSG00000106113,ENSG00000106113,CRHR2,corticotropin releasing hormone receptor 2 [Source:HGNC Symbol;Acc:HGNC:2358],"ARRAYEXPRESS,ENSG"
ENSG00000165807,ENSG00000165807,PPP1R36,protein phosphatase 1 regulatory subunit 36 [Source:HGNC Symbol;Acc:HGNC:20097],"ARRAYEXPRESS,ENSG"
ENSG00000211448,ENSG00000211448,DIO2,iodothyronine deiodinase 2 [Source:HGNC Symbol;Acc:HGNC:2884],"ARRAYEXPRESS,ENSG"
ENSG00000163687,ENSG00000163687,DNASE1L3,deoxyribonuclease 1 like 3 [Source:HGNC Symbol;Acc:HGNC:2959],"ARRAYEXPRESS,ENSG"
ENSG00000104823,ENSG00000104823,ECH1,enoyl-CoA hydratase 1 [Source:HGNC Symbol;Acc:HGNC:3149],"ARRAYEXPRESS,ENSG"
ENSG00000083782,ENSG00000083782,EPYC,epiphycan [Source:HGNC Symbol;Acc:HGNC:3053],"ARRAYEXPRESS,ENSG"
ENSG00000177294,ENSG00000177294,FBXO39,F-box protein 39 [Source:HGNC Symbol;Acc:HGNC:28565],"ARRAYEXPRESS,ENSG"
ENSG00000169918,ENSG00000169918,OTUD7A,OTU deubiquitinase 7A [Source:HGNC Symbol;Acc:HGNC:20718],"ARRAYEXPRESS,ENSG"
ENSG00000183066,ENSG00000183066,WBP2NL,WBP2 N-terminal like [Source:HGNC Symbol;Acc:HGNC:28389],"ARRAYEXPRESS,ENSG"
ENSG00000213853,ENSG00000213853,EMP2,epithelial membrane protein 2 [Source:HGNC Symbol;Acc:HGNC:3334],"ARRAYEXPRESS,ENSG"
ENSG00000225830,ENSG00000225830,ERCC6,"ERCC excision repair 6, chromatin remodeling factor [Source:HGNC Symbol;Acc:HGNC:3438]","ARRAYEXPRESS,ENSG"
ENSG00000167634,ENSG00000167634,NLRP7,NLR family pyrin domain containing 7 [Source:HGNC Symbol;Acc:HGNC:22947],"ARRAYEXPRESS,ENSG"
ENSG00000088832,ENSG00000088832,FKBP1A,FK506 binding protein 1A [Source:HGNC Symbol;Acc:HGNC:3711],"ARRAYEXPRESS,ENSG"
ENSG00000064042,ENSG00000064042,LIMCH1,LIM and calponin homology domains 1 [Source:HGNC Symbol;Acc:HGNC:29191],"ARRAYEXPRESS,ENSG"
ENSG00000106853,ENSG00000106853,PTGR1,prostaglandin reductase 1 [Source:HGNC Symbol;Acc:HGNC:18429],"ARRAYEXPRESS,ENSG"
ENSG00000187257,ENSG00000187257,RSBN1L,round spermatid basic protein 1 like [Source:HGNC Symbol;Acc:HGNC:24765],"ARRAYEXPRESS,ENSG"
ENSG00000158467,ENSG00000158467,AHCYL2,adenosylhomocysteinase like 2 [Source:HGNC Symbol;Acc:HGNC:22204],"ARRAYEXPRESS,ENSG"
ENSG00000159363,ENSG00000159363,ATP13A2,ATPase cation transporting 13A2 [Source:HGNC Symbol;Acc:HGNC:30213],"ARRAYEXPRESS,ENSG"
ENSG00000136003,ENSG00000136003,ISCU,iron-sulfur cluster assembly enzyme [Source:HGNC Symbol;Acc:HGNC:29882],"ARRAYEXPRESS,ENSG"
ENSG00000112992,ENSG00000112992,NNT,nicotinamide nucleotide transhydrogenase [Source:HGNC Symbol;Acc:HGNC:7863],"ARRAYEXPRESS,ENSG"
ENSG00000127481,ENSG00000127481,UBR4,ubiquitin protein ligase E3 component n-recognin 4 [Source:HGNC Symbol;Acc:HGNC:30313],"ARRAYEXPRESS,ENSG"
ENSG00000011677,ENSG00000011677,GABRA3,gamma-aminobutyric acid type A receptor alpha3 subunit [Source:HGNC Symbol;Acc:HGNC:4077],"ARRAYEXPRESS,ENSG"
ENSG00000214013,ENSG00000214013,GANC,"glucosidase alpha, neutral C [Source:HGNC Symbol;Acc:HGNC:4139]","ARRAYEXPRESS,ENSG"
ENSG00000102452,ENSG00000102452,NALCN,"sodium leak channel, non-selective [Source:HGNC Symbol;Acc:HGNC:19082]","ARRAYEXPRESS,ENSG"
ENSG00000162804,ENSG00000162804,SNED1,"sushi, nidogen and EGF like domains 1 [Source:HGNC Symbol;Acc:HGNC:24696]","ARRAYEXPRESS,ENSG"
ENSG00000165887,ENSG00000165887,ANKRD2,ankyrin repeat domain 2 [Source:HGNC Symbol;Acc:HGNC:495],"ARRAYEXPRESS,ENSG"
ENSG00000163734,ENSG00000163734,CXCL3,C-X-C motif chemokine ligand 3 [Source:HGNC Symbol;Acc:HGNC:4604],"ARRAYEXPRESS,ENSG"
ENSG00000170775,ENSG00000170775,GPR37,G protein-coupled receptor 37 [Source:HGNC Symbol;Acc:HGNC:4494],"ARRAYEXPRESS,ENSG"
ENSG00000164082,ENSG00000164082,GRM2,glutamate metabotropic receptor 2 [Source:HGNC Symbol;Acc:HGNC:4594],"ARRAYEXPRESS,ENSG"
ENSG00000168079,ENSG00000168079,SCARA5,scavenger receptor class A member 5 [Source:HGNC Symbol;Acc:HGNC:28701],"ARRAYEXPRESS,ENSG"
ENSG00000168952,ENSG00000168952,STXBP6,syntaxin binding protein 6 [Source:HGNC Symbol;Acc:HGNC:19666],"ARRAYEXPRESS,ENSG"
ENSG00000175879,ENSG00000175879,HOXD8,homeobox D8 [Source:HGNC Symbol;Acc:HGNC:5139],"ARRAYEXPRESS,ENSG"
ENSG00000171446,ENSG00000171446,KRT27,keratin 27 [Source:HGNC Symbol;Acc:HGNC:30841],"ARRAYEXPRESS,ENSG"
ENSG00000164978,ENSG00000164978,NUDT2,nudix hydrolase 2 [Source:HGNC Symbol;Acc:HGNC:8049],"ARRAYEXPRESS,ENSG"
ENSG00000115457,ENSG00000115457,IGFBP2,insulin like growth factor binding protein 2 [Source:HGNC Symbol;Acc:HGNC:5471],"ARRAYEXPRESS,ENSG"
ENSG00000175189,ENSG00000175189,INHBC,inhibin subunit beta C [Source:HGNC Symbol;Acc:HGNC:6068],"ARRAYEXPRESS,ENSG"
ENSG00000155980,ENSG00000155980,KIF5A,kinesin family member 5A [Source:HGNC Symbol;Acc:HGNC:6323],"ARRAYEXPRESS,ENSG"
ENSG00000047648,ENSG00000047648,ARHGAP6,Rho GTPase activating protein 6 [Source:HGNC Symbol;Acc:HGNC:676],"ARRAYEXPRESS,ENSG"
ENSG00000164096,ENSG00000164096,C4orf3,chromosome 4 open reading frame 3 [Source:HGNC Symbol;Acc:HGNC:19225],"ARRAYEXPRESS,ENSG"
ENSG00000229972,ENSG00000229972,IQCF3,IQ motif containing F3 [Source:HGNC Symbol;Acc:HGNC:31816],"ARRAYEXPRESS,ENSG"
ENSG00000187824,ENSG00000187824,TMEM220,transmembrane protein 220 [Source:HGNC Symbol;Acc:HGNC:33757],"ARRAYEXPRESS,ENSG"
ENSG00000134571,ENSG00000134571,MYBPC3,"myosin binding protein C, cardiac [Source:HGNC Symbol;Acc:HGNC:7551]","ARRAYEXPRESS,ENSG"
ENSG00000186575,ENSG00000186575,NF2,neurofibromin 2 [Source:HGNC Symbol;Acc:HGNC:7773],"ARRAYEXPRESS,ENSG"
ENSG00000078674,ENSG00000078674,PCM1,pericentriolar material 1 [Source:HGNC Symbol;Acc:HGNC:8727],"ARRAYEXPRESS,ENSG"
ENSG00000099917,ENSG00000099917,MED15,mediator complex subunit 15 [Source:HGNC Symbol;Acc:HGNC:14248],"ARRAYEXPRESS,ENSG"
ENSG00000156973,ENSG00000156973,PDE6D,phosphodiesterase 6D [Source:HGNC Symbol;Acc:HGNC:8788],"ARRAYEXPRESS,ENSG"
ENSG00000242550,ENSG00000242550,SERPINB10,serpin family B member 10 [Source:HGNC Symbol;Acc:HGNC:8942],"ARRAYEXPRESS,ENSG"
ENSG00000127418,ENSG00000127418,FGFRL1,fibroblast growth factor receptor like 1 [Source:HGNC Symbol;Acc:HGNC:3693],"ARRAYEXPRESS,ENSG"
ENSG00000076356,ENSG00000076356,PLXNA2,plexin A2 [Source:HGNC Symbol;Acc:HGNC:9100],"ARRAYEXPRESS,ENSG"
ENSG00000130024,ENSG00000130024,PHF10,PHD finger protein 10 [Source:HGNC Symbol;Acc:HGNC:18250],"ARRAYEXPRESS,ENSG"
ENSG00000109943,ENSG00000109943,CRTAM,cytotoxic and regulatory T cell molecule [Source:HGNC Symbol;Acc:HGNC:24313],"ARRAYEXPRESS,ENSG"
ENSG00000205517,ENSG00000205517,RGL3,ral guanine nucleotide dissociation stimulator like 3 [Source:HGNC Symbol;Acc:HGNC:30282],"ARRAYEXPRESS,ENSG"
ENSG00000080298,ENSG00000080298,RFX3,regulatory factor X3 [Source:HGNC Symbol;Acc:HGNC:9984],"ARRAYEXPRESS,ENSG"
ENSG00000123329,ENSG00000123329,ARHGAP9,Rho GTPase activating protein 9 [Source:HGNC Symbol;Acc:HGNC:14130],"ARRAYEXPRESS,ENSG"
ENSG00000080293,ENSG00000080293,SCTR,secretin receptor [Source:HGNC Symbol;Acc:HGNC:10608],"ARRAYEXPRESS,ENSG"
ENSG00000181523,ENSG00000181523,SGSH,N-sulfoglucosamine sulfohydrolase [Source:HGNC Symbol;Acc:HGNC:10818],"ARRAYEXPRESS,ENSG"
ENSG00000100652,ENSG00000100652,SLC10A1,solute carrier family 10 member 1 [Source:HGNC Symbol;Acc:HGNC:10905],"ARRAYEXPRESS,ENSG"
ENSG00000197375,ENSG00000197375,SLC22A5,solute carrier family 22 member 5 [Source:HGNC Symbol;Acc:HGNC:10969],"ARRAYEXPRESS,ENSG"
ENSG00000132164,ENSG00000132164,SLC6A11,solute carrier family 6 member 11 [Source:HGNC Symbol;Acc:HGNC:11044],"ARRAYEXPRESS,ENSG"
ENSG00000163554,ENSG00000163554,SPTA1,"spectrin alpha, erythrocytic 1 [Source:HGNC Symbol;Acc:HGNC:11272]","ARRAYEXPRESS,ENSG"
ENSG00000006128,ENSG00000006128,TAC1,tachykinin precursor 1 [Source:HGNC Symbol;Acc:HGNC:11517],"ARRAYEXPRESS,ENSG"
ENSG00000186827,ENSG00000186827,TNFRSF4,TNF receptor superfamily member 4 [Source:HGNC Symbol;Acc:HGNC:11918],"ARRAYEXPRESS,ENSG"
ENSG00000174417,ENSG00000174417,TRHR,thyrotropin releasing hormone receptor [Source:HGNC Symbol;Acc:HGNC:12299],"ARRAYEXPRESS,ENSG"
ENSG00000134780,ENSG00000134780,DAGLA,diacylglycerol lipase alpha [Source:HGNC Symbol;Acc:HGNC:1165],"ARRAYEXPRESS,ENSG"
ENSG00000105700,ENSG00000105700,KXD1,KxDL motif containing 1 [Source:HGNC Symbol;Acc:HGNC:28420],"ARRAYEXPRESS,ENSG"
ENSG00000204091,ENSG00000204091,TDRG1,testis development related 1 [Source:HGNC Symbol;Acc:HGNC:43642],"ARRAYEXPRESS,ENSG"
ENSG00000229807,ENSG00000229807,XIST,X inactive specific transcript [Source:HGNC Symbol;Acc:HGNC:12810],"ARRAYEXPRESS,ENSG"
ENSG00000170027,ENSG00000170027,YWHAG,tyrosine 3-monooxygenase/tryptophan 5-monooxygenase activation protein gamma [Source:HGNC Symbol;Acc:HGNC:12852],"ARRAYEXPRESS,ENSG"
ENSG00000118492,ENSG00000118492,ADGB,androglobin [Source:HGNC Symbol;Acc:HGNC:21212],"ARRAYEXPRESS,ENSG"
ENSG00000104361,ENSG00000104361,NIPAL2,NIPA like domain containing 2 [Source:HGNC Symbol;Acc:HGNC:25854],"ARRAYEXPRESS,ENSG"
ENSG00000170633,ENSG00000170633,RNF34,ring finger protein 34 [Source:HGNC Symbol;Acc:HGNC:17297],"ARRAYEXPRESS,ENSG"
ENSG00000163154,ENSG00000163154,TNFAIP8L2,TNF alpha induced protein 8 like 2 [Source:HGNC Symbol;Acc:HGNC:26277],"ARRAYEXPRESS,ENSG"
ENSG00000110925,ENSG00000110925,CSRNP2,cysteine and serine rich nuclear protein 2 [Source:HGNC Symbol;Acc:HGNC:16006],"ARRAYEXPRESS,ENSG"
ENSG00000125788,ENSG00000125788,DEFB126,defensin beta 126 [Source:HGNC Symbol;Acc:HGNC:15900],"ARRAYEXPRESS,ENSG"
ENSG00000102178,ENSG00000102178,UBL4A,ubiquitin like 4A [Source:HGNC Symbol;Acc:HGNC:12505],"ARRAYEXPRESS,ENSG"
ENSG00000204176,ENSG00000204176,SYT15,synaptotagmin 15 [Source:HGNC Symbol;Acc:HGNC:17167],"ARRAYEXPRESS,ENSG"
ENSG00000133687,ENSG00000133687,TMTC1,transmembrane and tetratricopeptide repeat containing 1 [Source:HGNC Symbol;Acc:HGNC:24099],"ARRAYEXPRESS,ENSG"
ENSG00000042286,ENSG00000042286,AIFM2,"apoptosis inducing factor, mitochondria associated 2 [Source:HGNC Symbol;Acc:HGNC:21411]","ARRAYEXPRESS,ENSG"
ENSG00000170915,ENSG00000170915,PAQR8,progestin and adipoQ receptor family member 8 [Source:HGNC Symbol;Acc:HGNC:15708],"ARRAYEXPRESS,ENSG"
ENSG00000080493,ENSG00000080493,SLC4A4,solute carrier family 4 member 4 [Source:HGNC Symbol;Acc:HGNC:11030],"ARRAYEXPRESS,ENSG"
ENSG00000166140,ENSG00000166140,ZFYVE19,zinc finger FYVE-type containing 19 [Source:HGNC Symbol;Acc:HGNC:20758],"ARRAYEXPRESS,ENSG"
ENSG00000213937,ENSG00000213937,CLDN9,claudin 9 [Source:HGNC Symbol;Acc:HGNC:2051],"ARRAYEXPRESS,ENSG"
ENSG00000140939,ENSG00000140939,NOL3,nucleolar protein 3 [Source:HGNC Symbol;Acc:HGNC:7869],"ARRAYEXPRESS,ENSG"
ENSG00000172716,ENSG00000172716,SLFN11,schlafen family member 11 [Source:HGNC Symbol;Acc:HGNC:26633],"ARRAYEXPRESS,ENSG"
ENSG00000147324,ENSG00000147324,MFHAS1,malignant fibrous histiocytoma amplified sequence 1 [Source:HGNC Symbol;Acc:HGNC:16982],"ARRAYEXPRESS,ENSG"
ENSG00000065320,ENSG00000065320,NTN1,netrin 1 [Source:HGNC Symbol;Acc:HGNC:8029],"ARRAYEXPRESS,ENSG"
ENSG00000173227,ENSG00000173227,SYT12,synaptotagmin 12 [Source:HGNC Symbol;Acc:HGNC:18381],"ARRAYEXPRESS,ENSG"
ENSG00000164938,ENSG00000164938,TP53INP1,tumor protein p53 inducible nuclear protein 1 [Source:HGNC Symbol;Acc:HGNC:18022],"ARRAYEXPRESS,ENSG"
ENSG00000075275,ENSG00000075275,CELSR1,cadherin EGF LAG seven-pass G-type receptor 1 [Source:HGNC Symbol;Acc:HGNC:1850],"ARRAYEXPRESS,ENSG"
ENSG00000106443,ENSG00000106443,PHF14,PHD finger protein 14 [Source:HGNC Symbol;Acc:HGNC:22203],"ARRAYEXPRESS,ENSG"
